model_slug,score,source,source_url,evaluated_at,notes
claude-fable-5,17.4,self-reported,https://www.anthropic.com/claude-opus-5-system-card,2026-07-24,Zapier AutomationBench competitor figure from the Claude Opus 5 System Card Table 8.1.A.
claude-fable-5-1,31.4,self-reported,https://www.anthropic.com/claude-fable-and-mythos-5-1,2026-09-01,"AutomationBench, System Card Table 8.1.A — nearly double Fable 5's 17.1, ahead of Opus 5 (26.9). Fable 5's number is itself depressed by safeguard interventions scoring zero."
claude-opus-4-8,17,self-reported,https://www.anthropic.com/claude-opus-5-system-card,2026-07-24,Zapier AutomationBench competitor figure from the Claude Opus 5 System Card Table 8.1.A.
claude-opus-5,26,self-reported,https://www.anthropic.com/claude-opus-5-system-card,2026-07-24,"Zapier AutomationBench (held-out private set), Claude Opus 5 System Card Table 8.1.A / §8.13.7. Anthropic reports ~1.5x the next-best model's pass rate for the same cost per task; Opus 5 topped Zapier's leaderboard."
gemini-3-7-flash,30.4,self-reported,https://blog.google/innovation-and-ai/models-and-research/gemini-models/introducing-gemini-3-7-flash/,2026-08-13,"AutomationBench (Zapier), Gemini 3.7 Flash launch post; up from 3.6 Flash's 17.0."
glm-5-3,48.2,self-reported,https://z.ai/blog/glm-5.3,2026-08-14,"AutomationBench v1.0.6, official GLM-5.3 comparison table; best in row, nearly double GLM-5.2 (26.2)."
glm-5-3-flash,48.8,self-reported,https://z.ai/blog/glm-5.3-flash,2026-08-26,"AutomationBench v1.0.6, official GLM-5.3-Flash comparison table; 26.2 → 48.8 over GLM-5.2, behind Gemini 3.7 Flash (52.3 in Z.ai's table)."
gpt-5-6-sol,18.1,self-reported,https://www.anthropic.com/claude-opus-5-system-card,2026-07-24,Zapier AutomationBench competitor figure (drawn by Anthropic from the developer's published results) in the Claude Opus 5 System Card Table 8.1.A.
gpt-6-astra,41.4,self-reported,https://openai.com/index/gpt-6-astra,2026-09-03,"AutomationBench, GPT-6 Astra launch table (Professional section); best in row, well clear of Claude Fable 5.1 (31.4)."
gpt-6-astra-mini,33.6,self-reported,https://developers.openai.com/api/docs/models/gpt-6-astra-mini,2026-09-24,"AutomationBench at max effort, launch table; vs. Astra's 41.4."
muse-spark-1-3,49.4,self-reported,https://research.meta.ai/blog/introducing-muse-spark-1-3,2026-09-02,"AutomationBench (Zapier, public v3 task set, pass@1), Meta launch scorecard; behind Claude Opus 5 (50.3), ahead of GPT-5.6 Sol (46.7). The 0.9-point gap is well inside the noise Meta publishes no confidence intervals for."
qwen3-8-max-0902,50.8,self-reported,https://www.qwencloud.com/models/qwen3.8-max-0902,2026-09-02,"AutomationBench, Qwen3.8-Max-0902 release chart as transcribed by BenchmarkList; the strongest AutomationBench figure in this ingestion wave apart from GPT-6 Astra."
