model_slug,score,source,source_url,evaluated_at,notes
ai21-jamba-1-5-large,48.3,self-reported,https://arxiv.org/html/2408.12570v1,,
ai21-jamba-1-5-mini,39.8,self-reported,https://arxiv.org/html/2408.12570v1,,
amazon-nova-premier,73.3,independent,https://artificialanalysis.ai/models/nova-premier,,
aya-expanse-32b,45.41,self-reported,https://huggingface.co/CohereLabs/aya-expanse-32b,2024-10-24,English MMLU-Pro
aya-vision-32b,47.16,self-reported,https://www.datalearner.com/en/ai-models/pretrained-models/aya-vision-32b,,"[relabeled self-reported: aggregator/press relay of a vendor figure, not an independent re-measurement]"
claude-haiku-4-5,80,independent,https://artificialanalysis.ai/models/claude-4-5-haiku,2025-10-01,independent evaluation; same caveat as GPQA row — 80.0% figure cross-confirmed via secondary aggregators citing Artificial Analysis
deepseek-coder-v2-236b,63.63,self-reported,https://huggingface.co/deepseek-ai/DeepSeek-Coder-V2-Instruct,,
deepseek-r1-0528,85,self-reported,https://huggingface.co/deepseek-ai/DeepSeek-R1-0528,2025-05-28,MMLU-Pro
deepseek-v2-5,65.83,self-reported,https://huggingface.co/deepseek-ai/DeepSeek-V2.5,,
deepseek-v3-0324,81.2,self-reported,https://huggingface.co/deepseek-ai/DeepSeek-V3-0324,2025-03-24,MMLU-Pro
deepseek-v3-1-non-thinking,83.7,self-reported,https://huggingface.co/deepseek-ai/DeepSeek-V3.1,,MMLU-Pro (EM)
deepseek-v3-1-thinking,84.8,self-reported,https://huggingface.co/deepseek-ai/DeepSeek-V3.1,,MMLU-Pro (EM)
deepseek-v3-2-exp,85,self-reported,https://github.com/deepseek-ai/DeepSeek-V3.2-Exp,,DeepSeek's own README benchmark table
deepseek-v3-671b,75.9,self-reported,https://huggingface.co/deepseek-ai/DeepSeek-V3,,
deepseek-v4-flash-non-think,83,self-reported,https://huggingface.co/deepseek-ai/DeepSeek-V4-Flash,,Non-Think mode
deepseek-v4-flash-think-high,86.4,self-reported,https://huggingface.co/deepseek-ai/DeepSeek-V4-Flash,,"Think High mode, per HF model card"
deepseek-v4-flash-think-max,86.2,self-reported,https://macaron.im/blog/deepseek-v4-benchmarks,,Max mode
deepseek-v4-pro-non-think,82.9,self-reported,https://huggingface.co/deepseek-ai/DeepSeek-V4-Pro,,Non-Think mode
deepseek-v4-pro-think-high,87.1,self-reported,https://arxiv.org/abs/2606.19348,,"Think-High mode, per macaron.im's transcription of DeepSeek's technical report"
deepseek-v4-pro-think-max,87.5,self-reported,https://huggingface.co/deepseek-ai/DeepSeek-V4-Pro,,Pro-Max mode
ernie-4-5-300b-a47b,78.4,self-reported,https://huggingface.co/baidu/ERNIE-4.5-300B-A47B-PT,,
falcon-h1-34b,58.73,self-reported,https://huggingface.co/tiiuae/Falcon-H1-34B-Instruct,,
falcon-h1r-7b,72.1,self-reported,https://falcon-lm.github.io/blog/falcon-h1r-7b/,,
