model_slug,score,source,source_url,evaluated_at,notes
claude-fable-5,80.3,self-reported,https://www.vellum.ai/blog/claude-fable-5-and-mythos-5-benchmarks-explained,,Ahead of Opus 4.8 (69.2%) and GPT-5.5 (58.6%).
claude-opus-4-7,64.3,self-reported,https://www.vellum.ai/blog/claude-opus-4-7-benchmarks-explained,,Up from 53.4% on Opus 4.6 per the same source.
claude-opus-4-8,69.2,self-reported,https://www.vellum.ai/blog/claude-opus-4-8-benchmarks-explained,,
claude-sonnet-4-6,58.1,self-reported,https://www.vellum.ai/blog/claude-sonnet-5-benchmarks-explained,,"From the later Sonnet 5 launch comparison table, re-measured alongside Sonnet 5 and Opus 4.8."
claude-sonnet-5,63.2,self-reported,https://www.vellum.ai/blog/claude-sonnet-5-benchmarks-explained,,"5 points ahead of Sonnet 4.6 (58.1%), 6 points behind Opus 4.8 (69.2%)."
deepseek-v4-flash-think-high,52.3,self-reported,https://macaron.im/blog/deepseek-v4-benchmarks,,Think High mode
deepseek-v4-flash-think-max,52.6,self-reported,https://macaron.im/blog/deepseek-v4-benchmarks,,Max mode
deepseek-v4-pro-think-high,54.4,self-reported,https://arxiv.org/abs/2606.19348,,Think-High mode
deepseek-v4-pro-think-max,55.4,self-reported,https://macaron.im/blog/deepseek-v4-benchmarks,,Pro-Max mode
gemini-3-5-flash,55.1,self-reported,https://deepmind.google/models/gemini/flash/,2026-05-19,SWE-bench Pro variant
glm-5-1,58.4,self-reported,https://docs.z.ai/guides/llm/glm-5.1,,SWE-bench Pro; Z.ai claimed this briefly topped the global leaderboard ahead of GPT-5.4 (57.7) and Claude Opus 4.6 (57.3) at launch
glm-5-2-max,62.1,self-reported,https://docs.z.ai/guides/llm/glm-5.2,,SWE-bench Pro; matches figure independently repeated on the HF blog
gpt-5-4,57.7,self-reported,https://the-decoder.com/openai-launches-gpt-5-4-thinking-and-pro-combining-coding-reasoning-and-computer-use-in-one-model/,,SWE-Bench Pro (harder variant of SWE-bench; not the base 'swe-bench' slug)
gpt-5-4-mini,54.4,self-reported,https://openai.com/index/introducing-gpt-5-4-mini-and-nano/,2026-03-17,"SWE-Bench Pro (Public), xhigh reasoning effort. Flagship scores 57.7%, GPT-5 mini scores 45.7% on the same table. Cross-confirmed verbatim by datacamp.com/blog/gpt-5-4-mini-nano (independent secondary source)."
gpt-5-4-nano,52.4,self-reported,https://openai.com/index/introducing-gpt-5-4-mini-and-nano/,2026-03-17,"SWE-Bench Pro (Public), xhigh reasoning effort. Cross-confirmed verbatim by datacamp.com/blog/gpt-5-4-mini-nano."
gpt-5-5,58.6,self-reported,https://openai.com/index/introducing-gpt-5-5,,"SWE-Bench Pro, base GPT-5.5 (not Pro variant); confirmed via marktechpost.com direct report"
gpt-5-6,64.6,self-reported,https://openai.com/index/gpt-5-6/,,"SWE-Bench Pro, GPT-5.6 Sol; confirmed via marktechpost.com direct report of launch page"
grok-4-5,64.7,self-reported,https://x.ai/news/grok-4-5,,"SWE-Bench Pro resolve rate, xAI/SpaceXAI's own reported number at launch, 2026-07-08 (below Opus 4.8's 69.2%, above Opus 4.7's 64.3% and GPT-5.5 xhigh's 58.6%); xAI emphasized resolving tasks with ~4.2x fewer output tokens than Opus 4.8."
kimi-k2-5,50.7,self-reported,https://www.kimi.com/blog/kimi-k2-5,,"SWE-bench Pro, harder/agentic variant distinct from base swe-bench"
kimi-k2-6,58.6,self-reported,https://www.kimi.com/blog/kimi-k2-6,,"SWE-bench Pro, harder/agentic variant distinct from base swe-bench"
mimo-v2-5,56.1,self-reported,https://mimo.xiaomi.com/mimo-v2-5/,,SWE-Bench Pro ('Real-World Bug Fixing'); read directly from the embedded benchmark-chart JS data (codingData array) on Xiaomi's official MiMo-V2.5 product page.
mimo-v2-5-pro,57.2,self-reported,https://mimo.xiaomi.com/mimo-v2-5-pro/,,SWE-Bench Pro; from the embedded fbCategories/benchData chart arrays (consistent value in both blocks on the page).
minimax-m2-7,56.22,self-reported,https://www.minimax.io/news/minimax-m27-en,,Reported by MiniMax as 'SWE-Pro' score in the official M2.7 launch post.
minimax-m3,59,self-reported,https://huggingface.co/MiniMaxAI/MiniMax-M3,,Also corroborated by independent press coverage citing the same 59.0% SWE-bench Pro figure vs GPT-5.5/Gemini 3.1 Pro.
qwen3-7-max,60.6,self-reported,https://www.alibabacloud.com/blog/qwen3-7-the-agent-frontier_603154,,SWE-Pro
qwen3-7-plus,57.6,self-reported,https://www.digitalapplied.com/blog/qwen-3-7-plus-alibaba-multimodal-agent-model-2026-release,,SWE-Bench Pro (reported as approx. 57.6)
qwen3-coder-480b-a35b,38.7,self-reported,https://huggingface.co/Qwen/Qwen3-Coder-480B-A35B-Instruct,,SWE-bench Pro (harder held-out variant)
