model_slug,score,source,source_url,evaluated_at,notes
ai21-jamba-1-5-large,85.5,self-reported,https://arxiv.org/html/2408.12570v1,,Berkeley Function-Calling Leaderboard
ai21-jamba-1-5-mini,80.7,self-reported,https://arxiv.org/html/2408.12570v1,,Berkeley Function-Calling Leaderboard
command-a,63.8,self-reported,https://arxiv.org/abs/2504.00698,,Berkeley Function-Calling Leaderboard
command-r7b,52.2,self-reported,https://arxiv.org/abs/2504.00698,,Berkeley Function-Calling Leaderboard
falcon3-10b,90.5,self-reported,https://huggingface.co/tiiuae/Falcon3-10B-Instruct,,"'Tool Use' category, 'BFCL AST (avg)' row (90.5) in the model card's 'Internal Pipeline Benchmarks' comparison table, alongside Yi-1.5-9B-Chat (48.4) and Mistral-Nemo-Instruct-2407 (74.2). Not previously tracked for this model -- verified by directly fetching the current model card content."
falcon3-7b,89.5,self-reported,https://huggingface.co/tiiuae/Falcon3-7B-Instruct,,"BFCL AST average, 'Tool Use' row of the model card's internal pipeline benchmarks table. Note: this is 0.5pt above the taxonomy's documented bfcl ceiling (89) but is unambiguously the same Berkeley Function-Calling Leaderboard metric."
gemini-1-5-flash,81.8,self-reported,https://storage.googleapis.com/deepmind-media/gemini/gemini_v1_5_report.pdf,2024-05-01,"Weighted-average accuracy on the Berkeley Function Calling Leaderboard (Yan et al., 2024), a subset of splits excluding Java/JavaScript, from Table 12 of the Gemini 1.5 technical report ('Function calling performance on Berkeley Function Calling Leaderboard splits'). Confirmed via local pdftotext extraction of the primary-source PDF: 'Weighted Average ... 1.0 Pro 67.8% / 1.5 Flash 81.8% / 1.5 Pro 88.4%'. Also checked the same document for a Chatbot Arena Elo score and a SimpleQA score for Gemini 1.5 Flash (a web search suggested one might exist) -- neither term appears anywhere in the full extracted text, so no Arena/SimpleQA addition was made for this model; the SimpleQA claim from search appears to be a hallucination (SimpleQA did not exist at this model's May 2024 report date)."
glm-4,81.76,self-reported,https://arxiv.org/html/2406.12793v1,2024-05-20,Corpus catalog confirms 'bfcl' (generic/v1-era) and 'bfcl-v3' are distinct tracked slugs (corpus/benchmarks.json); this entry belongs under 'bfcl' since BFCL v2/v3 did not exist at the time of the GLM-4 report's June 2024 publication.
glm-4-9b-chat,81,self-reported,https://huggingface.co/zai-org/glm-4-9b-chat,,"Berkeley Function-Calling Leaderboard overall accuracy, from official model card's Function Calling table (AST 80.26, Exec 84.40, Relevance 87.92)."
gpt-4o,80.5,independent,https://arxiv.org/abs/2407.21783,2024-07-23,"Berkeley Function-Calling Leaderboard, from the same Meta Llama-3 paper table (published July 23, 2024, before BFCL v3's Sept 2024 launch). Meta reports this as plain 'BFCL' (not a versioned v3 variant), so mapped to the 'bfcl' slug rather than 'bfcl-v3' -- matching this corpus's existing convention for the identical table (see corpus/models/meta/llama-3-1-405b.json's bfcl row)."
granite-8b-code-instruct,60.8,independent,https://arxiv.org/html/2405.04324v1,2024-05-07,"Berkeley Function-Calling Leaderboard (BFCL) Overall Accuracy for Granite-8B-Code-Instruct, reported in paper Figure 5 (bar chart, section 6.6 'Calling Functions and Tools'), which compares Granite-8B-Code (Base/Instruct) against CodeLlama-7B (Base/Instruct). Exact bars read from the figure: AST Summary 66.3, Execution Summary 52.3, Overall Accuracy 60.8 for Granite-8B-Code-Instruct. This is the same arxiv paper already cited in the file as the source for the model's second HumanEval row (49.6, avg across 6 languages), but the BFCL result was not previously tracked. Not to be confused with Figure 4 in the same paper, which only reports BFCL for BASE models (Granite-3B/8B/20B/34B-Code-Base) and does not include instruct-variant scores beyond the 8B one shown in Figure 5."
llama-3-1-405b,88.5,self-reported,https://huggingface.co/meta-llama/Meta-Llama-3.1-405B-Instruct,2024-07-23,"Berkeley Function-Calling Leaderboard, 0-shot acc, Instruct 405B (confirmed verbatim: 'BFCL | 0 | acc | ... | 88.5'). Meta reports this as plain 'BFCL' (not a versioned v3 variant), so mapped to the 'bfcl' slug rather than 'bfcl-v3'."
llama-3-1-70b,84.8,self-reported,https://github.com/meta-llama/llama-models/blob/main/models/llama3_1/MODEL_CARD.md,2024-07-01,"Instruct, BFCL 0-shot acc"
llama-3-1-8b,76.1,self-reported,https://github.com/meta-llama/llama-models/blob/main/models/llama3_1/MODEL_CARD.md,2024-07-01,"Instruct, BFCL 0-shot acc"
llama-3-1-nemotron-ultra-253b-v1-reasoning-off,73.62,self-reported,https://huggingface.co/nvidia/Llama-3_1-Nemotron-Ultra-253B-v1,2025-04-07,"BFCL V2 Live score for the 'Reasoning Off' configuration, from the same official HF model card evaluation table as the corpus's existing MATH500/AIME25/GPQA/IFEval/LiveCodeBench Reasoning-Off scores (all 5 of which were re-confirmed to match exactly: 80.40/16.67/56.60/88.85/29.03). Mapped to the 'bfcl' slug (not 'bfcl-v3') since the card specifies 'V2 Live'."
llama-3-1-nemotron-ultra-253b-v1-reasoning-on,74.1,self-reported,https://huggingface.co/nvidia/Llama-3_1-Nemotron-Ultra-253B-v1,2025-04-07,"BFCL V2 Live, Reasoning On. Confirmed via raw README.md fetch of the HF model card, which publishes both modes (Off=73.62, On=74.10)."
llama-3-2-1b,25.7,self-reported,https://github.com/meta-llama/llama-models/blob/main/models/llama3_2/MODEL_CARD.md,2024-09-01,"Instruct, BF16, 'BFCL V2' 0-shot acc"
llama-3-2-3b,67,self-reported,https://github.com/meta-llama/llama-models/blob/main/models/llama3_2/MODEL_CARD.md,2024-09-01,"Instruct, BF16, 'BFCL V2' 0-shot acc"
llama-3-3-70b,77.3,self-reported,https://huggingface.co/meta-llama/Llama-3.3-70B-Instruct,,"BFCL v2, overall_ast_summary/macro_avg/valid, 0-shot tool-use eval. Re-confirmed 2026-07-16 via direct fetch of the HF model card: the source table explicitly labels this row 'BFCL v2', never 'v3'. Mapped to the unversioned 'bfcl' slug per this corpus's established convention for BFCL v1/v2/unspecified-version scores -- consistent with sibling entries llama-3-1-405b ('plain BFCL'), llama-3-2-1b and llama-3-2-3b ('BFCL V2'), and NVIDIA's Llama-Nemotron family ('BFCL V2 Live'), all of which likewise use 'bfcl' rather than 'bfcl-v3'. The 'bfcl-v3' slug is reserved for the separate, later third-generation BFCL suite, which is not what this row measures."
llama-3-3-nemotron-super-49b-v1-reasoning-off,73.7,self-reported,https://huggingface.co/nvidia/Llama-3_3-Nemotron-Super-49B-v1,2025-03-18,"BFCL V2 Live, Reasoning Off. Confirmed via raw README.md — the card publishes only this Reasoning-Off value for BFCL (no Reasoning-On value is published for this model)."
llama-3-3-nemotron-super-49b-v1-reasoning-on,73.7,self-reported,https://arxiv.org/abs/2505.00949,2025-05-01,"BFCL V2 Live, Reasoning On. From Table 4 of the technical report, which splits the final LN-Super checkpoint into on=73.7 / off=73.9. CAVEAT: the HF model card/NIM docs publish this exact same number (73.7) but label it 'Reasoning Off' (with no separate on-value given there) -- i.e. the two official NVIDIA sources disagree on which reasoning mode 73.7 belongs to. Since the paper's own off-mode figure for this row is 73.9 (not 73.7), the numeric evidence favors the paper's on-mode attribution, but this is a real conflict between NVIDIA's own official docs worth flagging to a human reviewer rather than silently resolving."
minicpm3-4b,76,self-reported,https://huggingface.co/openbmb/MiniCPM3-4B,2024-09-01,BFCL v2 function-calling benchmark
palmyra-x-004,78.76,self-reported,https://www.businesswire.com/news/home/20241009659164/en/Writer-Releases-New-Frontier-Model-Palmyra-X-004-to-Add-Intelligent-Action-to-Enterprise-AI-Applications,,Berkeley Function-Calling Leaderboard overall accuracy
phi-4-mini-3-8b,70.3,self-reported,https://arxiv.org/abs/2503.01743,,"Table 7, BFCL (0-shot); consistent with the model's built-in function-calling capability."
phi-4-mini-instruct,70.3,self-reported,https://arxiv.org/abs/2503.01743,,"Table 7, BFCL (0-shot)."
