model_slug,score,source,source_url,evaluated_at,notes
claude-opus-5,65.7,self-reported,https://research.meta.ai/blog/introducing-muse-spark-1-3,2026-09-02,"JobBench, Claude Opus 5 column (max reasoning) of Meta's Muse Spark 1.3 launch scorecard; best in row."
gpt-5-6-sol,45.4,self-reported,https://research.meta.ai/blog/introducing-muse-spark-1-3,2026-09-02,"JobBench, GPT-5.6 Sol column (max reasoning) of Meta's Muse Spark 1.3 launch scorecard."
muse-spark-1-2,61.6,self-reported,https://research.meta.ai/blog/introducing-muse-spark-1-3,2026-09-02,"JobBench, Muse Spark 1.2 baseline column of Meta's Muse Spark 1.3 launch scorecard. NOTE: Meta ran 1.2 at xhigh while every other column is max, so part of the 1.2-to-1.3 delta is an effort-setting change."
muse-spark-1-3,64.9,self-reported,https://research.meta.ai/blog/introducing-muse-spark-1-3,2026-09-02,"JobBench, Meta launch scorecard; narrowly behind Claude Opus 5 (65.7), far ahead of GPT-5.6 Sol (45.4)."
qwen3-6-27b,21.8,self-reported,https://huggingface.co/Qwen/Qwen3.8-27B,2026-08-05,"JobBench, Qwen3.6-27B column of the official Qwen3.8-27B model card."
qwen3-7-plus,27.6,self-reported,https://huggingface.co/Qwen/Qwen3.8-27B,2026-08-05,"JobBench, Qwen3.7-Plus column of the official Qwen3.8-27B model card."
qwen3-8-27b,33.4,self-reported,https://huggingface.co/Qwen/Qwen3.8-27B,2026-08-05,"JobBench, official Qwen3.8-27B model card; best in row against Qwen3.6-27B (21.8) and Qwen3.7-Plus (27.6)."
qwen3-8-flash-next,55.7,self-reported,https://qwen.ai/blog?id=qwen3.8-flash-next,2026-08-26,"JobBench, official model card; far ahead of Claude Opus 4.6 Max (36.6) and Qwen3.8-27B (33.4)."
qwen3-8-max-0902,64,self-reported,https://www.qwencloud.com/models/qwen3.8-max-0902,2026-09-02,"JobBench, Qwen3.8-Max-0902 release chart as transcribed by BenchmarkList (benchmarklist.com/models/qwen-qwen3.8-max-0902), which cites the QwenCloud model page and Alibaba's launch post."
qwen3-8-plus,55.7,self-reported,https://qwen.ai/blog?id=qwen3.8-plus,2026-09-09,"JobBench, launch table; below Max-0902's 64.0."
