model_slug,score,source,source_url,evaluated_at,notes
claude-fable-5,0,self-reported,https://www.anthropic.com/news/claude-fable-5-mythos-5,2026-06-09,"From a separate 'Offensive cyber evaluations' chart on the same announcement page that explicitly plots a 'Claude Fable' series (distinct from Opus 4.8, Mythos Preview, and Mythos 5) at 0.0% on CyberGym as well as on Firefox/OSS-Fuzz/CyScenarioBench. This reflects Fable 5's built-in safety refusal/fallback behavior on offensive-cyber tasks by design (per the model's safeguards described in its system card), not a raw capability ceiling — flagging this clearly since it could otherwise read as a capability score."
claude-opus-4-5,50.63,self-reported,https://www-cdn.anthropic.com/bf10f64990cfda0ba858290be7b8cc6317685f47/Claude%20Opus%204.5%20System%20Card.pdf,2025-11-24,"CyberGym, pass@1 aggregate over the 1,505-task suite (averaged across 5 independent replicas), Section 2.14 of the official System Card. No-thinking configuration, 200k context."
claude-opus-4-5-high,50.63,self-reported,https://www-cdn.anthropic.com/bf10f64990cfda0ba858290be7b8cc6317685f47.pdf,2025-11-24,"System card Section 2.14: pass@1 over the 1,505-task CyberGym suite, averaged across 5 replicas, score 50.63%."
claude-opus-4-6,66.6,self-reported,https://www-cdn.anthropic.com/0dd865075ad3132672ee0ab40b05a53f14cf5288.pdf,2026-02-05,"Section 2.17 of the official Claude Opus 4.6 System Card: pass@1 targeted-vulnerability-reproduction score aggregated over the 1,507-task CyberGym suite, 'Claude Opus 4.6 achieved a score of 66.6%, improving on Claude Opus 4.5's score of 51.0% and Sonnet 4.5's score of 29.8%.' No-thinking/default-effort setting with an interleaved 'think' tool. Not previously tracked for this model."
glm-5,43.2,self-reported,https://huggingface.co/zai-org/GLM-5,,CyberGym
glm-5-1,68.7,self-reported,https://huggingface.co/zai-org/GLM-5.1,,CyberGym
gpt-5-5,81.8,self-reported,https://openai.com/index/introducing-gpt-5-5,,CyberGym; confirmed
gpt-5-6-luna,77.9,independent,https://benchlm.ai/models/gpt-5-6-luna,2026-07-24,"CyberGym, GPT-5.6 Luna = 77.9%, BenchLM tracker snapshot — same third-party leaderboard provenance as the Sol tier's 84.5% row."
gpt-5-6-sol,84.5,independent,https://benchlm.ai/benchmarks/cyberGym,2026-07-11,"CyberGym score for GPT-5.6 Sol, from BenchLM's CyberGym leaderboard ('GPT-5.6 Sol leads the public snapshot at 84.5%', rank #1). This is a third-party independent leaderboard run, not an OpenAI self-reported figure (OpenAI's own launch materials report a different internal 'capture-the-flag suite' score of 96.7% and cite an external firm called Irregular for cyber capability evals, neither of which is the CyberGym benchmark itself). One other secondary mention of 83.6% for the same pairing surfaced in a noisy web-search synopsis but without a clean citation, so treating 84.5% (the leaderboard's own stated number) as authoritative."
gpt-5-6-terra,81.8,independent,https://benchlm.ai/models/gpt-5-6-terra,2026-07-24,"CyberGym, GPT-5.6 Terra = 81.8%, BenchLM tracker snapshot — same third-party leaderboard provenance as the Sol tier's 84.5% row (OpenAI's own launch materials use a different internal CTF suite, not CyberGym)."
kimi-k2-5,41.3,self-reported,https://www.kimi.com/blog/kimi-k2-5,,"CyberGym, Kimi K2.5 Thinking, averaged over 5 runs using Moonshot's in-house coding-eval framework."
muse-spark-1-1-xhigh,59,self-reported,https://ai.meta.com/static-resource/muse-spark-1-1-evaluation-report,2026-07-09,"CyberGym pass@1, real-world cybersecurity vulnerability discovery/exploitation, from Table 1 of Meta's official Preparedness Assessment (helpful-only variant)"
deepseek-v4-flash-0731,76.7,self-reported,https://huggingface.co/deepseek-ai/DeepSeek-V4-Flash-0731,2026-07-31,"CyberGym, DeepSeek official model card launch table; vs. 38.7 for the April Preview checkpoint."
gemini-3-5-flash-cyber,83.2,self-reported,https://deepmind.google/blog/introducing-gemini-3-5-flash-cyber,2026-07-21,"CyberGym pass@1, official DeepMind launch blog. CodeMender configured to call 3.5 Flash Cyber up to five times per final report; competitor figures on the same chart are self-reported by their own providers."
