model_slug,score,source,source_url,evaluated_at,notes
claude-haiku-4-5,83.2,self-reported,https://www.anthropic.com/news/claude-haiku-4-5,2025-10-15,"False positive; the two domain scores merely appear in the same source chart, they are not blended together."
claude-opus-4-5-high,88.9,self-reported,https://www.anthropic.com/news/claude-opus-4-5,2025-11-24,"τ2-bench Retail domain, official launch-page table and system card Table 2.3.A (same table as the tracked τ2-bench Telecom=98.2 row). [taxonomy-gap backfill: this score was already verified in an earlier research round but had no matching benchmark slug at the time; added once the slug was introduced.]"
claude-sonnet-4-5,86.2,self-reported,https://www.anthropic.com/claude-sonnet-4-6-system-card,2026-02-17,"τ²-bench Retail sub-domain, Sonnet 4.5 comparison figure, Table 2.1.A (same table as the tracked τ²-bench Telecom=98 row). [taxonomy-gap backfill: this score was already verified in an earlier research round but had no matching benchmark slug at the time; added once the slug was introduced.]"
claude-sonnet-4-6,91.7,self-reported,https://www.anthropic.com/claude-sonnet-4-6-system-card,2026-02-17,"τ²-bench Retail sub-domain, system card Section 2.5 (same table as the tracked τ²-bench Telecom=97.9 row). [taxonomy-gap backfill: this score was already verified in an earlier research round but had no matching benchmark slug at the time; added once the slug was introduced.]"
exaone-4-5,77.9,self-reported,https://huggingface.co/LGAI-EXAONE/EXAONE-4.5-33B,2026-04-09,tau2-Bench Retail domain (same model card table as the tracked tau2-bench-telecom=73 row). [taxonomy-gap backfill: this score was already verified in an earlier research round but had no matching benchmark slug at the time; added once the slug was introduced.]
gemini-3-1-pro,90.8,self-reported,https://deepmind.google/models/gemini/pro/,2026-02-19,"τ2-bench Retail domain (labeled 'τ2-bench Retail' on the page, alongside the tracked τ2-bench Telecom score). [taxonomy-gap backfill: this score was already verified in an earlier research round but had no matching benchmark slug at the time; added once the slug was introduced.]"
gemini-3-pro,85.3,self-reported,https://storage.googleapis.com/deepmind-media/gemini/gemini_3_pro_model_evaluation.pdf,2025-11-01,"Domain breakdown of the model card's aggregated τ2-bench score: 'Gemini 3.0 Pro scores 85.3%, 73.0% and 98.0% on these categories respectively' for Retail, Airline, Telecom. [taxonomy-gap backfill: this score was already verified in an earlier research round but had no matching benchmark slug at the time; added once the slug was introduced.]"
gemma-4-26b-a4b,85.5,self-reported,https://arxiv.org/abs/2607.02770,2026-04-02,"26B A4B column of Table 5, row 'Tau2 - retail' (same table as the tracked tau2-bench-telecom=43 row for this model). [taxonomy-gap backfill: this score was already verified in an earlier research round but had no matching benchmark slug at the time; added once the slug was introduced.]"
kimi-k2,70.6,self-reported,https://arxiv.org/abs/2507.20534,,"Tau2-Bench Retail domain, avg@4; arXiv:2507.20534 Table 3 and GitHub README mirror (same source as the tracked tau2-bench-telecom=65.8 row). [taxonomy-gap backfill: this score was already verified in an earlier research round but had no matching benchmark slug at the time; added once the slug was introduced.]"
naver-hyperclova-x-seed-think-32b,71.6,self-reported,https://arxiv.org/abs/2601.03286,2025-12-26,"Table 5 of the model's own technical report (arXiv 2601.03286), 'Tau2-Retail' row, same table as the tracked tau2-bench-telecom=65.1 row. [taxonomy-gap backfill: this score was already verified in an earlier research round but had no matching benchmark slug at the time; added once the slug was introduced.]"
