model_slug,score,source,source_url,evaluated_at,notes
codestral-25-01,37.9,self-reported,https://mistral.ai/news/codestral-2501/,,
deepseek-coder-v2-236b,43.4,self-reported,https://github.com/deepseek-ai/DeepSeek-Coder-V2,,
deepseek-r1-0528,73.3,self-reported,https://huggingface.co/deepseek-ai/DeepSeek-R1-0528,2025-05-28,LiveCodeBench (2408-2505)
deepseek-r1-671b,65.9,self-reported,https://huggingface.co/deepseek-ai/DeepSeek-R1,2025-01-20,LiveCodeBench pass@1
deepseek-r1-distill-llama-70b,57.5,self-reported,https://huggingface.co/deepseek-ai/DeepSeek-R1-Distill-Llama-70B,2025-01-20,LiveCodeBench pass@1
deepseek-r1-distill-qwen-32b,57.2,self-reported,https://huggingface.co/deepseek-ai/DeepSeek-R1-Distill-Qwen-32B,2025-01-20,LiveCodeBench pass@1
deepseek-r1-zero,50,self-reported,https://arxiv.org/html/2501.12948v1,2025-01-20,LiveCodeBench pass@1
deepseek-v2-5,41.8,self-reported,https://huggingface.co/deepseek-ai/DeepSeek-V2.5,,Jan-Sep 2024 window
deepseek-v3-0324,49.2,self-reported,https://huggingface.co/deepseek-ai/DeepSeek-V3-0324,2025-03-24,LiveCodeBench
deepseek-v3-1-non-thinking,56.4,self-reported,https://huggingface.co/deepseek-ai/DeepSeek-V3.1,,2408-2505 Pass@1
deepseek-v3-1-thinking,74.8,self-reported,https://huggingface.co/deepseek-ai/DeepSeek-V3.1,,2408-2505 Pass@1
deepseek-v3-2-exp,74.1,self-reported,https://github.com/deepseek-ai/DeepSeek-V3.2-Exp,,
deepseek-v3-671b,37.6,self-reported,https://huggingface.co/deepseek-ai/DeepSeek-V3,,Pass@1
deepseek-v4-flash-non-think,55.2,self-reported,https://huggingface.co/deepseek-ai/DeepSeek-V4-Flash,,Non-Think mode
deepseek-v4-flash-think-high,88.4,self-reported,https://huggingface.co/deepseek-ai/DeepSeek-V4-Flash,,Think High mode
deepseek-v4-flash-think-max,91.6,self-reported,https://macaron.im/blog/deepseek-v4-benchmarks,,Max mode
deepseek-v4-pro-non-think,56.8,self-reported,https://huggingface.co/deepseek-ai/DeepSeek-V4-Pro,,Non-Think mode
deepseek-v4-pro-think-high,89.8,self-reported,https://arxiv.org/abs/2606.19348,,Think-High mode
deepseek-v4-pro-think-max,93.5,self-reported,https://huggingface.co/deepseek-ai/DeepSeek-V4-Pro,,Pro-Max mode
exaone-4-5,81.4,self-reported,https://www.prnewswire.com/news-releases/lg-reveals-next-gen-multimodal-ai-exaone-4-5-302736993.html,,"LiveCodeBench v6, vendor-reported vs Gemma 4 (80.0)"
