model_slug,score,source,source_url,evaluated_at,notes
claude-opus-4-5,43.2,self-reported,https://www.vellum.ai/blog/claude-opus-4-5-benchmarks,,"Humanity's Last Exam, with search/tools"
claude-opus-4-5-high,43.2,self-reported,https://www.vellum.ai/blog/claude-opus-4-5-benchmarks,2025-11-24,with search/tool use
claude-opus-4-6,40,self-reported,https://www.vellum.ai/blog/claude-opus-4-6-benchmarks,2026-02-05,without tools
claude-opus-4-7,46.9,self-reported,https://www.vellum.ai/blog/claude-opus-4-7-benchmarks-explained,,"Humanity's Last Exam, no-tools configuration. With-tools configuration scored 54.7% (not separately filed)."
claude-opus-4-8,49.8,self-reported,https://www.vellum.ai/blog/claude-opus-4-8-benchmarks-explained,,"Humanity's Last Exam, no-tools. With-tools scored 57.9% (not separately filed)."
claude-sonnet-5,57.4,self-reported,https://www.vellum.ai/blog/claude-sonnet-5-benchmarks-explained,,"Humanity's Last Exam, with-tools configuration."
deepseek-r1-0528,17.7,self-reported,https://huggingface.co/deepseek-ai/DeepSeek-R1-0528,2025-05-28,Humanity's Last Exam
deepseek-v3-1-thinking,15.9,self-reported,https://huggingface.co/deepseek-ai/DeepSeek-V3.1,,"Humanity's Last Exam, text-only subset, Pass@1"
deepseek-v3-2-exp,19.8,self-reported,https://github.com/deepseek-ai/DeepSeek-V3.2-Exp,,Humanity's Last Exam
deepseek-v4-flash-non-think,8.1,self-reported,https://huggingface.co/deepseek-ai/DeepSeek-V4-Flash,,Non-Think mode
deepseek-v4-flash-think-high,29.4,self-reported,https://huggingface.co/deepseek-ai/DeepSeek-V4-Flash,,Think High mode
deepseek-v4-flash-think-max,34.8,self-reported,https://huggingface.co/deepseek-ai/DeepSeek-V4-Flash,,Think Max mode
deepseek-v4-pro-non-think,7.7,self-reported,https://huggingface.co/deepseek-ai/DeepSeek-V4-Pro,,Non-Think mode
deepseek-v4-pro-think-high,34.5,self-reported,https://huggingface.co/deepseek-ai/DeepSeek-V4-Pro,,Think High mode
deepseek-v4-pro-think-max,37.7,self-reported,https://huggingface.co/deepseek-ai/DeepSeek-V4-Pro,,Think Max mode
ernie-4-5-300b-a47b,4,independent,https://artificialanalysis.ai/models/ernie-4-5-300b-a47b,,Humanity's Last Exam
ernie-5-0-preview,13,independent,https://artificialanalysis.ai/models/ernie-5-0-thinking-preview,2025-11-01,Humanity's Last Exam
falcon-h1r-7b,11.1,self-reported,https://falcon-lm.github.io/blog/falcon-h1r-7b/,,
gemini-2-5-flash,11,self-reported,https://storage.googleapis.com/deepmind-media/Model-Cards/Gemini-2-5-Flash-Model-Card.pdf,2025-05-01,"Humanity's Last Exam, no tools, thinking on"
gemini-2-5-flash-lite-non-thinking,5.1,self-reported,https://storage.googleapis.com/deepmind-media/Model-Cards/Gemini-2-5-Flash-Lite-Model-Card.pdf,2025-06-01,"Humanity's Last Exam, no tools, (06-17), non-thinking"
gemini-2-5-flash-lite-thinking,6.9,self-reported,https://storage.googleapis.com/deepmind-media/Model-Cards/Gemini-2-5-Flash-Lite-Model-Card.pdf,2025-06-01,"Humanity's Last Exam, no tools, (06-17), thinking on"
gemini-2-5-pro,18.8,self-reported,https://blog.google/innovation-and-ai/models-and-research/google-deepmind/gemini-model-thinking-updates-march-2025/,,"Humanity's Last Exam, no tools, SOTA at launch"
gemini-3-5-flash,40.2,self-reported,https://deepmind.google/models/gemini/flash/,2026-05-19,"Humanity's Last Exam, full set (text + MM), no tools stated; corroborated by Vellum leaderboard (40.2)"
gemini-3-flash,33.7,self-reported,https://storage.googleapis.com/deepmind-media/Model-Cards/Gemini-3-Flash-Model-Card.pdf,2025-12-01,"Humanity's Last Exam, no tools (43.5% with search+code exec)"
