model_slug,score,source,source_url,evaluated_at,notes
claude-fable-5,34.1,self-reported,https://x.ai/news/grok-4-6,2026-08-12,"Terminal-Bench v3.0, Fable 5 Max column of SpaceXAI's Grok 4.6 eval table. Z.ai's GLM-5.3 table separately records 33.7 for 'Fable 5 (w/ fallback)', a different serving configuration."
claude-opus-4-8,21.1,self-reported,https://z.ai/blog/glm-5.3,2026-08-14,"Terminal Bench 3.0, Claude Opus 4.8 column of Z.ai's official GLM-5.3 comparison table."
glm-5-2-max,4.6,self-reported,https://z.ai/blog/glm-5.3,2026-08-14,"Terminal Bench 3.0, GLM-5.2 baseline column of Z.ai's GLM-5.3 comparison table — the same base model before scaled post-training took it to 28.3."
glm-5-3,28.3,self-reported,https://z.ai/blog/glm-5.3,2026-08-14,"Terminal Bench 3.0, official GLM-5.3 comparison table — a 6x jump over GLM-5.2 (4.6) from post-training alone, and open-source SOTA, though behind Claude Fable 5 (33.7) and GPT-5.6 Sol (34.6)."
gpt-5-6-sol,34.6,self-reported,https://x.ai/news/grok-4-6,2026-08-12,"Terminal-Bench v3.0, GPT-5.6 Sol Max column of SpaceXAI's Grok 4.6 eval table (third-party scores are the best of self-reported or publicly available results); best in row. Z.ai's independent GLM-5.3 table records the same 34.6."
grok-4-5,15.7,self-reported,https://x.ai/news/grok-4-6,2026-08-12,"Terminal-Bench v3.0, Grok 4.5 High column of SpaceXAI's official Grok 4.6 eval table."
grok-4-6,26,self-reported,https://x.ai/news/grok-4-6,2026-08-12,"Terminal-Bench v3.0, Grok 4.6 High, official SpaceXAI eval table; up from Grok 4.5's 15.7 but well behind GPT-5.6 Sol Max (34.6) and Fable 5 Max (34.1)."
grok-4-7,29.7,self-reported,https://x.ai/news/grok-4-7,2026-09-16,"Terminal-Bench 3.0, launch table; up from 4.6's 26.0."
kimi-k3,17.4,self-reported,https://z.ai/blog/glm-5.3,2026-08-14,"Terminal Bench 3.0, Kimi K3 column of Z.ai's official GLM-5.3 comparison table."
kimi-k3-1,21.8,self-reported,https://platform.moonshot.ai/blog/kimi-k3-1,2026-09-23,"Terminal-Bench 3.0, launch table; up from K3's 17.4 — the largest delta on the card."
