model_slug,score,source,source_url,evaluated_at,notes
glm-4-32b-0414,69.6,self-reported,https://huggingface.co/zai-org/GLM-4-32B-0414,,Overall
hunyuan-a13b,78.3,self-reported,https://www.marktechpost.com/2025/06/28/tencent-open-sources-hunyuan-a13b-a-13b-active-parameter-moe-model-with-dual-mode-reasoning-and-256k-context/,,"Berkeley Function-Calling Leaderboard v3, agentic tool-use"
qwen3-14b-non-thinking,61.5,self-reported,https://arxiv.org/pdf/2505.09388,,"BFCL v3, Non-thinking mode"
qwen3-14b-thinking,70.4,self-reported,https://arxiv.org/pdf/2505.09388,,"BFCL v3, Thinking mode"
qwen3-235b-a22b-instruct-2507,70.9,self-reported,https://huggingface.co/Qwen/Qwen3-235B-A22B-Instruct-2507,,
qwen3-235b-a22b-non-thinking,68,self-reported,https://arxiv.org/pdf/2505.09388,,"BFCL v3, Non-thinking mode"
qwen3-235b-a22b-thinking,70.8,self-reported,https://arxiv.org/pdf/2505.09388,,"BFCL v3, Thinking mode"
qwen3-235b-a22b-thinking-2507,71.9,self-reported,https://huggingface.co/Qwen/Qwen3-235B-A22B-Thinking-2507,,BFCL-v3
qwen3-30b-a3b-non-thinking,58.6,self-reported,https://arxiv.org/abs/2505.09388,,"BFCL v3, non-thinking mode"
qwen3-30b-a3b-thinking,69.1,self-reported,https://arxiv.org/abs/2505.09388,,"BFCL v3 agent/tool-use, thinking mode"
qwen3-32b-non-thinking,63,self-reported,https://arxiv.org/abs/2505.09388,,"BFCL v3, non-thinking mode"
qwen3-32b-thinking,70.3,self-reported,https://arxiv.org/abs/2505.09388,,"BFCL v3, thinking mode"
qwen3-8b-non-thinking,60.2,self-reported,https://arxiv.org/abs/2505.09388,,"BFCL v3, non-thinking mode"
qwen3-8b-thinking,68.1,self-reported,https://arxiv.org/abs/2505.09388,,"BFCL v3, thinking mode"
qwq-32b,66.4,self-reported,https://www.datacamp.com/blog/qwq-32b,,BFCL v3
