model_slug,score,source,source_url,evaluated_at,notes
command-a-218b,80.6,self-reported,https://cohere.com/blog/command-a-plus,,
deepseek-vl2,62.8,self-reported,https://arxiv.org/html/2412.10302v1,,Base variant
grok-2,69,self-reported,https://klu.ai/glossary/xai-grok-2,2024-08-13,
grok-2-mini,68.1,self-reported,https://klu.ai/glossary/xai-grok-2,2024-08-13,
idefics2-8b,51.4,self-reported,https://huggingface.co/blog/idefics2,,"testmini, with image splitting"
internvl2-5-78b,72.3,self-reported,https://internvl.github.io/blog/2024-12-05-InternVL-2.5/,,MathVista mini
internvl3-78b,79,self-reported,https://arxiv.org/html/2504.10479v1,,
kimi-k1-5,74.9,self-reported,https://arxiv.org/abs/2501.12599,,"Long-CoT variant, visual reasoning"
llama-3-2-11b-vision,51.5,self-reported,https://huggingface.co/meta-llama/Llama-3.2-11B-Vision,2024-09-01,"Instruct, testmini"
llama-3-2-90b-vision,57.3,self-reported,https://huggingface.co/meta-llama/Llama-3.2-90B-Vision-Instruct,,MathVista testmini
minimax-vl-01,68.6,self-reported,https://huggingface.co/MiniMaxAI/MiniMax-VL-01,,
phi-4-multimodal-5-6b,62.4,self-reported,https://huggingface.co/microsoft/Phi-4-multimodal-instruct,,
pixtral-12b,58,self-reported,https://mistral.ai/news/pixtral-12b/,,CoT prompting
pixtral-large-124b,69.4,self-reported,https://mistral.ai/news/pixtral-large/,2024-11-18,
qvq-72b-preview,71.4,self-reported,https://huggingface.co/Qwen/QVQ-72B-Preview,,MathVista mini
qwen2-5-vl-72b,74.8,self-reported,https://huggingface.co/Qwen/Qwen2.5-VL-72B-Instruct,,MathVista mini
qwen2-vl-72b,70.5,self-reported,https://huggingface.co/Qwen/Qwen2-VL-72B-Instruct,,"Instruct checkpoint, MathVista testmini"
qwen3-5-122b-a10b,87.4,self-reported,https://huggingface.co/Qwen/Qwen3.5-122B-A10B,,"Reported as 'Mathvista(mini)', the standard mini-test-set variant commonly reported as MathVista."
qwen3-5-omni-flash,82.9,self-reported,https://qwen.ai/blog?id=qwen3.5-omni,2026-04-17,Reported as 'Mathvista (mini)' in Table 6 (Vision→Text) — the standard mini-testmini split used by most MathVista comparisons.
qwen3-5-omni-plus,86.1,self-reported,https://arxiv.org/abs/2604.15804,2026-04-21,"Table 6 (Vision→Text), Qwen3.5-Omni-Plus column, cell S5.T6.3.6.4. Paper labels row 'Mathvista (mini)' (the standard mini-test split)."
skywork-r1v-38b,67.5,self-reported,https://arxiv.org/abs/2504.05599,,MathVista-mini
