model_slug,score,source,source_url,evaluated_at,notes
claude-fable-5,69.7,self-reported,https://www.anthropic.com/claude-opus-5-system-card,2026-07-24,DeepSWE v1.1 competitor figure from the Claude Opus 5 System Card Table 8.1.A.
claude-fable-5-1,67.4,self-reported,https://www.anthropic.com/claude-fable-and-mythos-5-1,2026-09-01,"DeepSWE v1.1, mean over five trials, System Card. Anthropic flags a scoring artefact: reviewing failing transcripts it found 'equally valid or more rigorous' implementations that still failed hidden tests written for a single reference solution."
claude-opus-4-8,59,self-reported,https://www.anthropic.com/claude-opus-5-system-card,2026-07-24,DeepSWE v1.1 competitor figure from the Claude Opus 5 System Card Table 8.1.A.
claude-opus-5,68.8,self-reported,https://www.anthropic.com/claude-opus-5-system-card,2026-07-24,"DeepSWE v1.1 (113 long-horizon SWE tasks, mean over 5 trials), Claude Opus 5 System Card Table 8.1.A / §8.3. Ahead of Opus 4.8 (59.0) but behind Fable 5 (69.7) and GPT-5.6 Sol (72.7) — an honest non-SOTA row."
deepseek-v4-flash-0731,54.4,self-reported,https://huggingface.co/deepseek-ai/DeepSeek-V4-Flash-0731,2026-07-31,"DeepSWE, DeepSeek official model card launch table; vs. 7.9 for the April Preview checkpoint (DeepSWE was not one of the benchmarks that carried over well between versions)."
gemini-3-7-flash,65.3,self-reported,https://blog.google/innovation-and-ai/models-and-research/gemini-models/introducing-gemini-3-7-flash/,2026-08-13,"DeepSWE v1.1, Gemini 3.7 Flash launch post; up from 3.6 Flash's 49.0."
gemini-3-8-flash,73.7,self-reported,https://blog.google/innovation-and-ai/models-and-research/gemini-models/3-8-flash-and-3-8-flash-cyber/,2026-09-02,"DeepSWE v1.1, Google's Gemini 3.8 Flash launch table; up from 3.7 Flash's 65.3 and within 0.3 points of Claude Opus 5 (74.0) at roughly a seventh of the price. The public Datacurve leaderboard separately lists 74%."
gemini-3-8-flash-lite,52.3,self-reported,https://blog.google/innovation-and-ai/models-and-research/gemini-models/3-8-flash-lite/,2026-09-16,"DeepSWE v1.1, launch table; an honest Lite-tier row well below 3.8 Flash's 73.7."
glm-5-3,66.9,self-reported,https://z.ai/blog/glm-5.3,2026-08-14,"DeepSWE v1.1, official GLM-5.3 comparison table; up from GLM-5.2's 46.2, behind Claude Fable 5 (69.7) and GPT-5.6 Sol (72.7)."
glm-5-3-flash,63.4,self-reported,https://z.ai/blog/glm-5.3-flash,2026-08-26,"DeepSWE v1.1, official GLM-5.3-Flash comparison table; 46.2 → 63.4 over GLM-5.2 and ahead of Claude Opus 4.8 (58.0) at a fraction of the price."
gpt-5-6-sol,72.7,self-reported,https://www.anthropic.com/claude-opus-5-system-card,2026-07-24,DeepSWE v1.1 competitor figure (drawn by Anthropic from the developer's published results) in the Claude Opus 5 System Card Table 8.1.A; best in row.
grok-4-6,65.9,self-reported,https://x.ai/news/grok-4-6,2026-08-12,"DeepSWE v1.1, Grok 4.6 High, official SpaceXAI eval table. Up sharply from Grok 4.5 (54.0) but clearly behind GPT-5.6 Sol Max (73.0) and Fable 5 Max (70.0) — a loss SpaceXAI publishes."
grok-4-7,69.4,self-reported,https://x.ai/news/grok-4-7,2026-09-16,"DeepSWE v1.1 at High reasoning, launch table; up from 4.6's 65.9."
muse-spark-1-3,75.4,self-reported,https://research.meta.ai/blog/introducing-muse-spark-1-3,2026-09-02,"DeepSWE v1.1 at max reasoning, Meta launch scorecard; Meta ran 1.3 on mini-swe-agent and took peers from the official Datacurve leaderboard. Best published figure on the benchmark at the time — ahead of Claude Opus 5 (74.0), GPT-5.6 Sol (73.0) and, by 1.3 points, GPT-6 Astra's 74.1 the following day. The benchmarked max configuration is still in limited preview."
qwen3-6-27b,13.3,self-reported,https://huggingface.co/Qwen/Qwen3.8-27B,2026-08-05,"DeepSWE 1.1, Qwen3.6-27B column of the official Qwen3.8-27B model card."
qwen3-7-plus,14.2,self-reported,https://huggingface.co/Qwen/Qwen3.8-27B,2026-08-05,"DeepSWE 1.1, Qwen3.7-Plus column of the official Qwen3.8-27B model card — the larger, more expensive sibling trails the 27B by 28 points."
qwen3-8-27b,42.2,self-reported,https://huggingface.co/Qwen/Qwen3.8-27B,2026-08-05,"DeepSWE 1.1, official Qwen3.8-27B model card; a 3x jump over Qwen3.6-27B (13.3) and ahead of the much larger Qwen3.7-Plus (14.2)."
qwen3-8-flash-next,58.7,self-reported,https://qwen.ai/blog?id=qwen3.8-flash-next,2026-08-26,"DeepSWE 1.1, best across the Claude Code and mini-SWE-agent harnesses (it performs best on mini-SWE-agent), official model card; ahead of DeepSeek-V4-Flash-0731 (54.4) but well behind the frontier."
qwen3-8-plus,58.9,self-reported,https://qwen.ai/blog?id=qwen3.8-plus,2026-09-09,"DeepSWE v1.1, launch table."
